paper_id,query,anchor,authors,category,relevance,boundary_note
R48-001,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-002,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-003,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-004,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-005,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-006,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-007,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-008,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-009,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-010,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-011,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-012,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-013,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-014,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-015,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-016,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-017,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-018,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-019,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-020,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
